Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S91221597,Canada Goose,Branta canadensis,303,20,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-07-04,07:09 AM,eBird - Traveling Count,117,1,1.078,,3
S91939087,Canada Goose,Branta canadensis,303,4,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-07-18,09:13 AM,eBird - Traveling Count,62,1,1.383,,3
S92937750,Canada Goose,Branta canadensis,303,5,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-08-08,07:33 AM,eBird - Traveling Count,161,1,2.269,,2
S95189958,Canada Goose,Branta canadensis,303,64,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-09-26,07:09 AM,eBird - Traveling Count,121,1,.579,,6
S95195314,Canada Goose,Branta canadensis,303,7,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-09-26,09:12 AM,eBird - Traveling Count,28,1,.515,,4
S95330198,Canada Goose,Branta canadensis,303,37,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-09-29,07:14 AM,eBird - Traveling Count,105,1,1.593,,1
S95910842,Canada Goose,Branta canadensis,303,35,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-10-10,07:07 AM,eBird - Traveling Count,181,1,2.784,,2
S96270814,Canada Goose,Branta canadensis,303,30,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2021-10-17,07:33 AM,eBird - Traveling Count,157,1,2.752,,2
S18703759,Canada Goose,Branta canadensis,303,10,US-DE,Kent,L126637,Bombay Hook National Wildlife Refuge,39.2670818,-75.4695511,2014-05-10,10:15 AM,eBird - Traveling Count,145,1,4.828,,4
S18703761,Canada Goose,Branta canadensis,303,1,US-DE,New Castle,L1539644,University of Delaware Farm,39.6662733,-75.745637,2014-05-10,07:50 AM,eBird - Traveling Count,60,1,.805,,4
S18703755,Canada Goose,Branta canadensis,303,2,US-DE,New Castle,L304814,White Clay Creek SP,39.711,-75.76,2014-05-10,05:50 AM,eBird - Traveling Count,120,1,3.219,,4
S94496198,Canada Goose,Branta canadensis,303,1,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,2021-09-11,07:13 AM,eBird - Traveling Count,182,1,2.173,,3
S18703758,Mute Swan,Cygnus olor,337,2,US-DE,Sussex,L464099,Prime Hook NWR--Dike Trail (formerly Observation Point Trail),38.831785,-75.2446157,2014-05-10,01:30 PM,eBird - Traveling Count,105,1,.805,,4
S88719787,Wood Duck,Aix sponsa,406,1,US-DC,District of Columbia,L247770,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,2021-05-22,07:07 AM,eBird - Traveling Count,108,1,2.205,,3,,Female
S88727759,Wood Duck,Aix sponsa,406,2,US-DC,District of Columbia,L247770,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,2021-05-22,08:59 AM,eBird - Traveling Count,96,1,2.092,,1
S73248812,Wood Duck,Aix sponsa,406,7,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2020-09-06,06:36 AM,eBird - Traveling Count,145,1,2.079,,3
S73953343,Wood Duck,Aix sponsa,406,5,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2020-09-23,07:16 AM,eBird - Traveling Count,88,1,.772,,1
S74118103,Wood Duck,Aix sponsa,406,2,US-DC,District of Columbia,L585694,Kingman Island South - Kingman Lake/Heritage Island,38.893872,-76.965301,2020-09-27,07:12 AM,eBird - Traveling Count,173,1,1.297,,3
