Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S94524518,Carolina Chickadee,Poecile carolinensis,21254,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,Carolina Wren,Thryothorus ludovicianus,26438,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Carolina Wren,Thryothorus ludovicianus,26438,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94511831,Carolina Wren,Thryothorus ludovicianus,26438,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,1:38 PM,eBird - Traveling Count,46,1,1.143,,3,,,,
S94520472,Carolina Wren,Thryothorus ludovicianus,26438,5.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Carolina Wren,Thryothorus ludovicianus,26438,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,Cedar Waxwing,Bombycilla cedrorum,28890,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94496198,Chestnut-sided Warbler,Setophaga pensylvanica,33018,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Chestnut-sided Warbler,Setophaga pensylvanica,33018,3.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,Chestnut-sided Warbler,Setophaga pensylvanica,33018,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Chestnut-sided Warbler,Setophaga pensylvanica,33018,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,Chimney Swift,Chaetura pelagica,3788,40.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94507139,Chimney Swift,Chaetura pelagica,3788,8.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94520472,Chimney Swift,Chaetura pelagica,3788,100.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Chimney Swift,Chaetura pelagica,3788,40.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94507139,Common Grackle,Quiscalus quiscula,32752,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,10:16 AM,eBird - Traveling Count,169,1,3.144,,4,,,,
S94496198,Common Yellowthroat,Geothlypis trichas,32921,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
S94520472,Common Yellowthroat,Geothlypis trichas,32921,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,2:27 PM,eBird - Traveling Count,166,1,4.281,,3,,,,
S94524518,Common Yellowthroat,Geothlypis trichas,32921,1.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,5:17 PM,eBird - Traveling Count,77,1,1.227,,3,,,,
S94496198,crow sp.,Corvus sp. (crow sp.),20813,2.00,US-MD,Prince George's,L265951,Lake Artemesia,38.9875613,-76.9223213,9/11/2021,7:13 AM,eBird - Traveling Count,182,1,2.173,,3,,,,
